SLC25A36, 16784, 14.442592
LOC728734, 10700, 14.434576
LINC00476, 9798, 14.427866
TAS2R13, 17894, 14.426370
TRIM7, 18910, 14.425592
RBAK, 15155, 14.421477
ZNF555, 20445, 14.407582
CROCCP2, 4475, 14.401309
ZADH2, 19954, 14.399947
INTS4L1, 8649, 14.388448
HSPBAP1, 8285, 14.388430
CASP8AP2, 3253, 14.385352
GPR89B, 7507, 14.367329
RCL1, 15241, 14.365148
FAM76B, 6323, 14.356050
ZNF333, 20302, 14.353426
LRRC4, 10892, 14.351844
ARHGEF18, 1286, 14.350857
SCRT1, 16218, 14.345495
ZNF718, 20582, 14.340198
THSD4, 18214, 14.328169
KIAA0802, 9069, 14.300182
ANKRD34C, 1006, 14.295579
FASTKD1, 6388, 14.282071
RTEL1, 15988, 14.259853
ASTN2, 1456, 14.255113
ZNF546, 20438, 14.250250
SLC6A6, 16976, 14.249571
KIAA0182, 9035, 14.242054
RP11-61L23.2, 15712, 14.239222
NR2C1, 12617, 14.233857
SLC9A1, 16997, 14.229565
ABCC1, 58, 14.226580
COL19A1, 4254, 14.219760
WHAMML1, 19789, 14.215032
EIF4A2, 5684, 14.209949
NFIL3, 12361, 14.203896
INPP5F, 8627, 14.201644
CALCOCO1, 3148, 14.201193
NR3C2, 12626, 14.200970
ICA1, 8339, 14.198316
LOC728743, 10702, 14.195762
SUZ12, 17745, 14.189305
LOC100133161, 10056, 14.177558
MLLT10, 11580, 14.175471
RP11-2F9.2, 15650, 14.170708
ZNF620, 20504, 14.161132
RAG1, 15061, 14.135557
AADACL1, 15, 14.135212
SLC25A12, 16758, 14.133369
OSGEPL1, 13293, 14.130276
CCDC58, 3404, 14.117404
CEP95, 3832, 14.117228
ACPL2, 475, 14.114603
DMKN, 5209, 14.114421
SGK494, 16495, 14.107550
PIK3CB, 13938, 14.104383
ARNT, 1353, 14.104269
FHDC1, 6583, 14.102940
RNF133, 15502, 14.094118
ZNF692, 20558, 14.089443
LOC730658, 10766, 14.088601
AC135983.8, 391, 14.087412
KDM4C, 9006, 14.083764
AP4E1, 1141, 14.077615
PCDHGA5, 13573, 14.077131
TMEM132E, 18388, 14.065796
COG2, 4236, 14.061247
TNFRSF25, 18645, 14.058102
TMPPE, 18586, 14.051867
MUC20, 11944, 14.045261
GIT2, 7175, 14.039101
OR2L3, 13013, 14.032819
LMTK2, 9861, 14.017851
L2HGDH, 9492, 14.011038
C4orf33, 2802, 14.010636
LINC00515, 9802, 14.003655
RAD52, 15050, 13.996189
SLC35B4, 16866, 13.995292
DND1P2, 5297, 13.970975
CEP120, 3814, 13.968318
H1F0, 7717, 13.954251
FAM19A3, 6210, 13.948862
MC1R, 11278, 13.945797
SLC12A5, 16668, 13.939715
LAMA4, 9510, 13.932188
ZBTB43, 19991, 13.929943
C1orf201, 2513, 13.928554
FOXN3, 6772, 13.928157
C11orf30, 2067, 13.906433
MORC2-AS1, 11660, 13.898624
ANKS1A, 1037, 13.897694
C8orf47, 2996, 13.894813
FOXO3, 6775, 13.885482
OVGP1, 13331, 13.878264
PPP1R15B, 14404, 13.869457
LEPRE1, 9636, 13.868548
MAP2K3, 11145, 13.857528
DPY19L2P4, 5376, 13.852135
RNF113A, 15490, 13.846410
MLL5, 11578, 13.839589
LEAP2, 9617, 13.832506
C11orf75, 2097, 13.819945
MAP3K3, 11158, 13.815818
C17orf63, 2334, 13.806277
CTTNBP2, 4654, 13.796934
ZNF165, 20192, 13.778873
RBM15, 15173, 13.768537
CKMT1B, 4026, 13.765816
C1RL, 2450, 13.761419
GAS6, 7017, 13.760888
SCLT1, 16183, 13.756238
C6orf204, 2900, 13.741906
DPP4, 5360, 13.739504
CDYL, 3758, 13.739259
RASGRF1, 15127, 13.724928
RGPD4, 15353, 13.720720
SCAF11, 16141, 13.718107
CCNB1IP1, 3489, 13.717939
USF2, 19431, 13.714898
KBTBD2, 8865, 13.707728
EPB41L1, 5815, 13.693978
ARID2, 1298, 13.692592
FZD6, 6897, 13.691818
PTPN2, 14834, 13.691707
RBMS1, 15205, 13.690771
DDX3X, 4975, 13.684596
SETD7, 16425, 13.667250
ZNF224, 20228, 13.666556
MAT2B, 11244, 13.664233
ATG16L1, 1484, 13.661037
HDAC4, 7825, 13.658511
SH3D20, 16532, 13.658361
SCN1B, 16192, 13.655467
OR2L2, 13012, 13.653106
KRTCAP3, 9481, 13.646451
TUBD1, 19153, 13.644024
NFKBIZ, 12371, 13.640038
TAS2R48, 17909, 13.632192
RNF144A, 15508, 13.620276
ZFYVE27, 20121, 13.619729
SHMT1, 16569, 13.610582
CTSC, 4638, 13.609323
C12orf24, 2116, 13.600588
ADAMTS13, 571, 13.595494
INTS4L2, 8650, 13.593891
CYTH3, 4828, 13.589876
CHRM2, 3948, 13.585977
ARHGEF7, 1294, 13.577683
GIGYF1, 7155, 13.576160
CCDC130, 3340, 13.573136
PLCB1, 14055, 13.557690
LOC100134173, 10078, 13.553233
C1orf172, 2495, 13.548614
IMPA1, 8589, 13.543928
SMYD4, 17119, 13.542080
RP5-1068E13.3, 15765, 13.525325
C6orf167, 2890, 13.520543
GABRB2, 6931, 13.508692
ATP8B2, 1588, 13.499362
MCF2, 11293, 13.495243
IGF1R, 8430, 13.458810
GLB1L3, 7208, 13.458487
ULK3, 19368, 13.458293
PIK3CA, 13937, 13.454415
LOC100286977, 10093, 13.449734
FLYWCH2, 6699, 13.446827
DDX3Y, 4976, 13.434874
NDRG3, 12234, 13.434279
DCAF13P3, 4888, 13.427896
AFTPH, 682, 13.420442
PURA, 14880, 13.418178
SNRPN, 17178, 13.415027
SFRS14, 16457, 13.410861
SEPT7L, 16352, 13.403309
GABRD, 6933, 13.402742
C18orf15, 2362, 13.402729
CENPJ, 3803, 13.397527
ITFG2, 8744, 13.388672
FAM188B, 6198, 13.377032
FAM183B, 6191, 13.365390
ABCB10, 50, 13.361986
KIAA1841, 9144, 13.358341
FGF9, 6565, 13.348792
MTUS2, 11933, 13.339614
GSDMB, 7609, 13.338610
PDIA5, 13690, 13.325879
CACNA2D2, 3120, 13.324497
PENK, 13747, 13.319258
EHMT1, 5637, 13.304745
RELT, 15285, 13.303747
SETDB1, 16427, 13.288713
CERK, 3837, 13.288271
MRPL33, 11755, 13.286767
C20orf20, 2601, 13.278988
RPP25, 15868, 13.272659
RAB11FIP2, 14949, 13.258715
ABCB7, 55, 13.258163
GNB3, 7302, 13.257727
A2BP1, 5, 13.254531
AGPAT9, 708, 13.246711
CAMTA1, 3185, 13.245050
DENND1B, 5042, 13.241981
AC013402.2, 215, 13.228560
ABTB2, 113, 13.221560
CSDC2, 4515, 13.216337
CNFN, 4173, 13.214978
AP001011.3, 1099, 13.213138
C5orf56, 2854, 13.211008
CDC42EP3, 3663, 13.208626
MAMDC2, 11113, 13.206264
ZNF284, 20272, 13.203863
ADAM22, 555, 13.201285
VPRBP, 19594, 13.197109
LRRC37A4P, 10885, 13.187563
INPP5B, 8624, 13.186805
HSF4, 8252, 13.185421
EIF2C1, 5659, 13.181972
HSPA4L, 8272, 13.174744
ESRRA, 5926, 13.174546
LY6G5B, 10992, 13.165237
ESCO1, 5914, 13.165149
PFTK1, 13792, 13.157146
TRIM13, 18850, 13.155850
PANX2, 13435, 13.141658
SPAG1, 17287, 13.132975
ST3GAL5, 17544, 13.131913
CAMTA2, 3186, 13.131642
LOC440311, 10481, 13.130183
REEP2, 15268, 13.125406
DFFB, 5068, 13.119716
ERP44, 5908, 13.114998
GPATCH8, 7380, 13.108751
LIN9, 9727, 13.103816
NCRNA00085, 12219, 13.100232
PCNT, 13606, 13.099981
EIF2S3, 5665, 13.070204
AC126544.1, 373, 13.068916
IFT172, 8418, 13.063638
OSBPL2, 13284, 13.057484
AC022311.1, 241, 13.057363
ZNF446, 20373, 13.050681
CCDC146, 3353, 13.045629
FAM115C, 6079, 13.044554
FOXP1, 6777, 13.037055
SNTG1, 17182, 13.011349
FAM35B, 6246, 13.008706
SLC4A9, 16947, 13.008602
CDC42BPA, 3659, 13.006537
RUNDC3B, 16013, 13.004768
PCDHGB3, 13580, 12.985821
RP4-695O20__B.1, 15752, 12.984943
GTF3C2, 7664, 12.978154
GAS2, 7012, 12.971775
GABRG2, 6936, 12.958863
OR2AK2, 12992, 12.958510
GRIP2, 7579, 12.955727
NR1D1, 12610, 12.941908
MID2, 11518, 12.940025
IQSEC3, 8693, 12.939933
C18orf25, 2366, 12.934496
HECW1, 7857, 12.934172
TCERG1, 18014, 12.930413
ANK3, 956, 12.930079
RSPO2, 15978, 12.928705
ZNF354C, 20318, 12.928144
RP11-504P24.4, 15693, 12.927833
TAS2R10, 17893, 12.913501
ZNF175, 20196, 12.897295
XYLT2, 19903, 12.888816
NUP54, 12769, 12.879931
CASP3, 3247, 12.879648
KIF27, 9182, 12.878414
PION, 13960, 12.877194
PDC, 13633, 12.875736
INPP5A, 8623, 12.874891
NT5M, 12694, 12.871074
DUT, 5475, 12.869823
KIF5A, 9190, 12.869004
PXDNL, 14902, 12.868439
ASAH2, 1395, 12.859267
ENTPD4, 5802, 12.854994
SLC38A11, 16891, 12.854772
BRAF, 1902, 12.853530
NCKIPSD, 12202, 12.842419
IFRD2, 8415, 12.842399
MBTD1, 11275, 12.839479
NEXN, 12341, 12.839457
EIF5A2, 5701, 12.835014
TPP2, 18768, 12.819353
TFB2M, 18130, 12.816538
MAP3K9, 11167, 12.816003
LINC00472, 9794, 12.805089
PPARGC1B, 14340, 12.804151
LOC100132261, 10024, 12.799678
NXPH3, 12795, 12.794755
HAUS8, 7773, 12.794302
12-Sep, 16343, 12.780347
BRWD3, 1941, 12.779874
LOC100127998, 9877, 12.777930
AC005077.3, 133, 12.775173
C1orf97, 2567, 12.771988
CADPS2, 3142, 12.768417
STRADA, 17653, 12.767000
METT5D1, 11412, 12.756374
GCC2, 7055, 12.754433
XKR6, 19869, 12.752075
CCDC84, 3435, 12.744944
SLC38A9, 16899, 12.744055
LYPLA1, 11018, 12.743813
SRFBP1, 17457, 12.740729
LOC100499484-C9ORF174, 10290, 12.733535
CLGN, 4101, 12.730269
ELTD1, 5742, 12.716929
ANKFY1, 960, 12.714827
STK36, 17631, 12.705240
CRISPLD1, 4461, 12.698608
PAN2, 13428, 12.697375
USH2A, 19434, 12.697306
